Name,العنوان,Gov,Ds,Area,Logo,Mobile,Telephone,User
شركة هاى تك لخدمة وسائل النقل,"القطعة 73 - - امتداد المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345678,212345678,3
برو تيم,"فيلا 13 - ميدان ابو البركات - متفرع من ش طنطا, العجوزة, الجيزة.",الجيزة.,"العجوزة, الجيزة.","العجوزة,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345679,212345679,3
الشركة الهندسية المصرية لخدمات السيارات - ثرى اس,"., محرم بك, الاسكندرية.",الاسكندرية.,"بك, الاسكندرية.","بك,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345680,212345680,3
راضى الدولية,"8 ش عمر بن عبد العزيز متفرع من ش شهاب, المهندسين, الجيزة.",الجيزة.,"المهندسين, الجيزة.","المهندسين,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345681,212345681,3
مصنع الشيخ للصناعات المتطورة,"القطعة 127 - - المنطقة الصناعية ب3, العاشر من رمضان, الشرقية.",الشرقية.,"رمضان, الشرقية.","رمضان,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345682,212345682,3
جونسون ايجيبت,"16 المحور المركزى, الحى 11, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345683,212345683,3
ريبير سرفيس سنتر,"طريق سقارة السايحي, المريوطية, الهرم, الجيزة.",الجيزة.,"الهرم, الجيزة.","الهرم,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345684,212345684,3
مصر للسيارات لخدمة وسائل النقل,"قطعة رقم 4 - ش حمادة امام - المنطقة الصناعية الثانية, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345685,212345685,3
البسيونى للمعدات,"74 ش عبد المنعم رياض ميدان الفالوجة, العجوزة, الجيزة.",الجيزة.,"العجوزة, الجيزة.","العجوزة,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345686,212345686,3
مركز البستان لتجديد السيارات,"القطعة 199 - ش 7 - المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345687,212345687,3
مركز اميكس لصيانة السيارات,"الطريق الدائرى - اتجاه كارفور, ابيس, الاسكندرية.",الاسكندرية.,"ابيس, الاسكندرية.","ابيس,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345688,212345688,3
وان ستوب,"3 ش حسن صادق - المرغنى, مصر الجديدة, القاهرة.",القاهرة.,"الجديدة, القاهرة.","الجديدة,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345689,212345689,3
ايه اس ام لتوريد المعدات,"17 عمارات العرائس - شقة 3, المعادى الجديدة, المعادى, القاهرة.",القاهرة.,"المعادى, القاهرة.","المعادى,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345690,212345690,3
نادى السيارات للصيانة المتقدمة,"الاردنية, الحى السابع, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345691,212345691,3
شركة مصر للمحركات,"212 ش السودان ميدان لبنان, المهندسين, الجيزة.",الجيزة.,"المهندسين, الجيزة.","المهندسين,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345692,212345692,3
