Name,العنوان,Gov,Ds,Area,Logo,Mobile,Telephone,Brand,Service,DayOff,OpenH,CloseH,User
السنى,"ش شرق السكة الحديد, ابشواى, الفيوم.",الفيوم.,"ابشواى, الفيوم.","ابشواى,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346390,212346390,Toyota Seat,Tyres AC,Saturday Sunday,9 AM,9 PM,3
مركز اميكس لصيانة السيارات,"الطريق الدائرى - اتجاه كارفور, ابيس, الاسكندرية.",الاسكندرية.,"ابيس, الاسكندرية.","ابيس,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345688,212345688,Seat Peugeot,Essential,Saturday Sunday,10 AM,10 PM,3
مركز اسكندرية لخدمة السيارات,"الطريق الدائرى - القرية العاشرة ابيس, ابيس, الاسكندرية.",الاسكندرية.,"ابيس, الاسكندرية.","ابيس,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012349902,212349902,Nisan Renault,Full,Saturday Sunday,9 AM,6 PM,3
مركز الغباشى لخدمة السيارات,"57 ش مشروع ناصر, ابيس, الاسكندرية.",الاسكندرية.,"ابيس, الاسكندرية.","ابيس,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012350080,212350080,Honda Nisan Renault,ميكانيكا,Friday Saturday,11 AM,11 PM,3
مركز عتمان للسيارات,"كم 12 - طريق اسكندرية القاهرة الزراعى - عزبة خورشيد, ابيس, الاسكندرية.",الاسكندرية.,"ابيس, الاسكندرية.","ابيس,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012350301,212350301,Honda,عفشة فرامل,Friday Saturday,9 AM,9 PM,3
كار كير سنتر,"6 ش مساكن الازهر ميدان فيصل, اسيوط, اسيوط.",اسيوط.,"اسيوط, اسيوط.","اسيوط,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012349625,212349625,Peugeot Volvo,سمكرة,Friday Saturday,10 AM,10 PM,3
الاتحاد,"ش البحر - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345951,212345951,Suzuki Subaru,تكيف,Friday Saturday,9 AM,6 PM,3
الالمانى لكهرباء السيارات,"87 ش بورسعيد - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346050,212346050,Toyota Seat,بطاريات,Friday Saturday,11 AM,11 PM,3
السعيد,"ش البحر - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346372,212346372,Seat Peugeot,صيانة,Saturday Sunday,9 AM,9 PM,3
الورشة الفنية لصيانة السيارات,"106 ش بورسعيد - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012348176,212348176,Nisan Renault,Tyres AC,Monday,10 AM,10 PM,3
